hit_cnt,sip_cnt,dip,dport,proto,inif,outif,src_ip
8790,10,84025098,1976,6,proxy8,proxy9,1124182208;687974592;671197376;660973760;660842688;654420160;620865728;570534080;536979648;335653056
5740,9,1920103026,53,17,proxy8,proxy9,1191291072;1073850560;671197376;637642944;620865728;570534080;553756864;520202432;335653056
5142,1,583853277,80,6,proxy8,proxy9,1124182208
4592,2,488447351,53,17,proxy8,proxy9,1124182208;553756864
4365,3,84215263,53,17,proxy8,proxy9,660973760;654420160;570534080
3562,13,1691123018,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;687974592;671197376;660973760;654420160;637642944;620865728;536979648;520202432;335653056
3556,13,1707900234,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;687974592;671197376;660973760;654420160;637642944;620865728;536979648;520202432;335653056
3555,13,1909226826,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;687974592;671197376;660973760;654420160;637642944;620865728;536979648;520202432;335653056
3552,13,2328657226,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;687974592;671197376;660973760;654420160;637642944;620865728;536979648;520202432;335653056
3548,13,1724677450,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;687974592;671197376;660973760;654420160;637642944;620865728;536979648;520202432;335653056
3543,13,2345434442,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;687974592;671197376;660973760;654420160;637642944;620865728;536979648;520202432;335653056
2774,1,66788874,1976,6,proxy8,proxy9,1191291072
2676,1,3471080053,8834,6,proxy8,proxy9,536979648
2064,2,101058271,53,17,proxy8,proxy9,687974592;536979648
1970,4,1157794621,53,17,proxy8,proxy9,687974592;671197376;536979648;335653056
1691,12,1706944832,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;637642944;620865728;536979648;520202432;335653056
1685,12,1723722048,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;637642944;620865728;536979648;520202432;335653056
1681,11,2344479040,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
1681,11,1908271424,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
1681,11,1690167616,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
1679,11,2327701824,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
1163,1,16777439,53,17,proxy8,proxy9,1191291072
1016,5,134744072,53,17,proxy8,proxy9,704751808;660973760;654420160;637774016;637642944
967,11,1679261002,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
967,11,2333572426,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
966,11,1712815434,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
958,11,1696038218,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
958,11,2316795210,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
952,11,1897364810,443,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
825,11,67309740,123,17,proxy8,proxy9,1191291072;1124182208;1073850560;671197376;660973760;654420160;637642944;620865728;570534080;536979648;335653056
802,3,2108262205,80,6,proxy8,proxy9,1073850560;671197376;660973760
776,3,2041153341,80,6,proxy8,proxy9,1073850560;671197376;660973760
753,1,1280068788,53,17,proxy8,proxy9,520202432
748,1,106003835,53,17,proxy8,proxy9,704751808
604,2,1797349812,80,6,proxy8,proxy9,660973760;536979648
560,1,584040826,80,6,proxy8,proxy9,1124182208
555,2,1814127028,80,6,proxy8,proxy9,660973760;536979648
465,1,3968308660,80,6,proxy8,proxy9,654420160
444,1,194614708,80,6,proxy8,proxy9,654420160
434,3,1804637620,80,6,proxy8,proxy9,660973760;654420160;536979648
367,4,2988822127,80,6,proxy8,proxy9,1073850560;671197376;660973760;654420160
360,3,2844825012,80,6,proxy8,proxy9,660973760;654420160;536979648
323,1,3696210339,8000,17,proxy8,proxy9,520202432
317,1,1242250794,8701,17,proxy8,proxy9,620865728
302,4,1689945917,80,6,proxy8,proxy9,1073850560;671197376;660973760;654420160
301,10,3087248006,2492,6,proxy8,proxy9,1191291072;687974592;671197376;660973760;660842688;654420160;637642944;553756864;536979648;520202432
187,1,2563260528,80,6,proxy8,proxy9,671197376
185,9,3053693574,2492,6,proxy8,proxy9,1191291072;687974592;671197376;660973760;660842688;654420160;637642944;553756864;536979648
180,3,3282071355,80,6,proxy8,proxy9,660973760;654420160;536979648
160,3,1120402655,80,6,proxy8,proxy9,660973760;654420160;536979648
148,8,1352624083,80,6,proxy8,proxy9,1191291072;1124182208;671197376;660973760;654420160;620865728;570534080;335653056
148,4,3104025222,2492,6,proxy8,proxy9,704751808;687974592;660973760;570534080
139,3,3315625787,80,6,proxy8,proxy9,660973760;654420160;536979648
133,15,84025098,7273,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,84025098,7274,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,84025098,7275,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,84025098,7276,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,84025098,7277,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,84025098,7278,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,84025098,7279,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
