hit_cnt,sip_cnt,dip_cnt,dip,dport,proto,inif,outif,src_ip
21316,13,6,1909226826;2328657226;1724677450;1691123018;1707900234;2345434442,443,6,proxy8;,proxy9;,1191291072;1124182208;1073850560;704751808;687974592;671197376;660973760;654420160;637642944;620865728;536979648;520202432;335653056
12490,11,10,2327701824;2344479040;1908271424;1690167616;1679261002;1696038218;2316795210;2333572426;1897364810;1712815434,443,6,proxy8;,proxy9;,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;536979648;520202432;335653056
8790,10,1,84025098,1976,6,proxy8;,proxy9;,1124182208;687974592;671197376;660973760;660842688;654420160;620865728;570534080;536979648;335653056
6540,1,43,1087357306;583853277;2001427576;2885275493;4246756472;1786945491;251502972;451217015;3476102519;533709178;1753391059;399491450;164610426;3075453347;1736613843;2868498277;869253498;886030714;1573709021;902807930;2518703224;589668732;2642404975;3197223883;335389052;484771447;1025531000;2542912459;1770168275;3456302448;1613700471;2816894666;1317545853;499365491;840879985;84250490;1703059411;1686282195;1719836627;1803722707;584040826;1020248442;2197409637,80,6,proxy8;,proxy9;,1124182208
5740,9,1,1920103026,53,17,proxy8;,proxy9;,1191291072;1073850560;671197376;637642944;620865728;570534080;553756864;520202432;335653056
4592,2,1,488447351,53,17,proxy8;,proxy9;,1124182208;553756864
4365,3,1,84215263,53,17,proxy8;,proxy9;,660973760;654420160;570534080
3376,12,2,1723722048;1706944832,443,6,proxy8;,proxy9;,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;637642944;620865728;536979648;520202432;335653056
2774,1,1,66788874,1976,6,proxy8;,proxy9;,1191291072
2676,1,1,3471080053,8834,6,proxy8;,proxy9;,536979648
2064,2,1,101058271,53,17,proxy8;,proxy9;,687974592;536979648
1970,4,1,1157794621,53,17,proxy8;,proxy9;,687974592;671197376;536979648;335653056
1578,3,2,2041153341;2108262205,80,6,proxy8;,proxy9;,1073850560;671197376;660973760
1538,3,15,1804637620;2844825012;2325984732;3282071355;1943565942;427986102;1120402655;1267089533;3748414135;3315625787;1851081341;3346832701;594770806;141196150;1565868669,80,6,proxy8;,proxy9;,660973760;654420160;536979648
1466,1,23,2423422331;570123842;1890759645;1911564157;2374407604;3311959419;276069755;2391184820;2627569469;3644437980;3496283503;341489116;902807930;3177106828;2524151163;3765599611;129251963;1625083276;4033657975;146029179;327456180;1678931638;528717236,0,1,proxy8;,proxy9;,1124182208
1217,1,2,16777439;1111084655,53,17,proxy8;,proxy9;,1191291072
1169,2,3,1797349812;1814127028;3036916358,80,6,proxy8;,proxy9;,660973760;536979648
1023,1,18,2887220603;4139085348;1539292221;2097076651;2992628858;4246727901;17073078;2723057371;1118381930;3968308660;2085198619;549296815;194614708;886635743;2414138215;1317421181;1050436298;1404320106,80,6,proxy8;,proxy9;,654420160
1016,5,1,134744072,53,17,proxy8;,proxy9;,704751808;660973760;654420160;637774016;637642944
920,1,96,850095652;376643444;850515726;2776929716;3070470790;1059705035;1198693851;1843880394;320250223;2551672010;774426827;3121481391;564377052;1075063727;2598198490;485854390;3775036278;724816075;4180136139;3004040879;2987263663;193957946;815844965;575995511;832622181;810876535;3807674747;1056889259;2534821947;1430638476;1557393267;768768886;1091840943;1798073201;2547866842;874395707;891172923;269265088;1940031293;2562361149;197213658;1265802715;1366477423;1430113676;1317310675;1471503542;3298521458;2263937916;780950483;3281744242;724095179;1909537975;3484982077;4241984150;3425392496;233784189;114304409;2013630330;2064807606;4050435191;4033657975;4000103543;3826191738;4187840948;1408189309;1119394621;1230332340;1525583030;1057859548;1709508215;1678931638;275561591;1695708854;3390525552;103731057;3643265227;1283756243;3248189810;1122976637;1646366931;1713475795;1010387422;387875766;3692601711;864297881;2672341411;754964907;556323019;697204091;1215471067;1290232266;828689007;1960479926;1093914827;169045819;409779319,80,17,proxy8;,proxy9;,660973760
825,11,1,67309740,123,17,proxy8;,proxy9;,1191291072;1124182208;1073850560;671197376;660973760;654420160;637642944;620865728;570534080;536979648;335653056
753,1,1,1280068788,53,17,proxy8;,proxy9;,520202432
748,1,1,106003835,53,17,proxy8;,proxy9;,704751808
669,4,2,2988822127;1689945917,80,6,proxy8;,proxy9;,1073850560;671197376;660973760;654420160
498,1,5,3696210339;208452727;611105911;2775294319;2079783388,8000,17,proxy8;,proxy9;,520202432
333,1,4,1242250794;791013235;1993216526;3715579063,8701,17,proxy8;,proxy9;,620865728
302,1,63,4167109919;1112411423;1895344965;819100534;3915932084;835877750;850515726;584219510;785546102;1621239658;139201823;2796672782;1447365919;557845791;2138121573;1048503363;448675653;1060163787;213204805;1847187884;4006099672;311811138;295230530;1843880394;3775036278;605725620;4213690571;1830462388;1724060520;4103420871;2569588939;4072940718;546692162;345496642;757649611;3156857035;3188176348;2345739673;1087382937;3643265227;2108217146;3106525387;959500491;290393375;1960479926;3399511867;3144040573;2929745199;22088991;213598021;3115439886;3457407404;2383600044;772921772;1846860204;3470015192;2932423384;1309989292;2383534508;1846663596;2396273368;2933144280;4006886104,443,6,proxy8;,proxy9;,660973760
301,10,1,3087248006,2492,6,proxy8;,proxy9;,1191291072;687974592;671197376;660973760;660842688;654420160;637642944;553756864;536979648;520202432
275,1,29,3865917341;833005535;187329293;3989069672;1681784195;140332557;3586478028;1514095373;1625284148;434921012;287844631;4044679871;1659625012;1764077364;2463874651;2147707661;1604996109;1080642317;2485281204;1588520244;623861261;3370706368;3310897933;919611752;3759255348;2834211764;2800657332;691940968;2230231988,443,6,proxy8;,proxy9;,687974592
242,1,7,2367872283;564186725;2460600677;2041153341;2108262205;984000479;967223263,443,6,proxy8;,proxy9;,553756864
242,1,17,2367872283;2904410213;2384649499;1055351242;114915957;1831718769;2561329509;333019765;1000777695;1889885999;2418203931;1708754749;814542909;486049597;2612227899;3617568220;70436709,80,6,proxy8;,proxy9;,553756864
241,1,13,1706944832;2340188955;2563260528;3944780663;2034278767;3585771325;2392303327;293530666;922967160;419247677;352138813;1176882799;327085098,80,6,proxy8;,proxy9;,671197376
202,1,22,1017554911;722042235;356503151;2523995196;16885952;2599584123;258784375;302640170;2721959535;2872954479;831320125;671710587;3341275339;2485833931;270064044;363243487;705265019;2501146294;950446047;2689519244;272617071;104590378,80,6,proxy8;,proxy9;local;,520202432
185,9,1,3053693574,2492,6,proxy8;,proxy9;,1191291072;687974592;671197376;660973760;660842688;654420160;637642944;553756864;536979648
184,2,5,3166497088;3166562624;1814127028;550665078;236509612,443,6,proxy8;,proxy9;,660973760;654420160
148,8,1,1352624083,80,6,proxy8;,proxy9;,1191291072;1124182208;671197376;660973760;654420160;620865728;570534080;335653056
148,4,1,3104025222,2492,6,proxy8;,proxy9;,704751808;687974592;660973760;570534080
143,3,2,1797349812;567442294,443,6,proxy8;,proxy9;,687974592;660973760;654420160
135,2,7,745678007;762455223;3163674426;2397360999;2394659503;859886558;1465213364,80,6,proxy8;,proxy9;,660973760;654420160
133,15,1,84025098,7273,17,proxy8;,proxy9;,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,1,84025098,7274,17,proxy8;,proxy9;,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,1,84025098,7275,17,proxy8;,proxy9;,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,1,84025098,7276,17,proxy8;,proxy9;,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,1,84025098,7277,17,proxy8;,proxy9;,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,1,84025098,7278,17,proxy8;,proxy9;,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,1,84025098,7279,17,proxy8;,proxy9;,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,1,84025098,7280,17,proxy8;,proxy9;,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,1,84025098,7281,17,proxy8;,proxy9;,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,1,84025098,7282,17,proxy8;,proxy9;,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
110,7,1,1369401299,80,6,proxy8;,proxy9;,1191291072;671197376;660973760;654420160;620865728;570534080;335653056
106,1,16,1002116469;453792887;849782751;612152796;981114173;4276522166;2955629620;3366916456;1366214501;3873350580;3757810612;2834211764;1437104234;2800657332;610737882;2230231988,80,6,proxy8;,proxy9;,687974592
101,1,17,1723722048;1712815434;590401739;907304056;370054838;1784372344;297694332;2407827382;2409403828;3200022634;353277622;336415357;2919674998;403524221;3640036534;2392626612;467236208,80,6,proxy8;,proxy9;,536979648
98,11,1,67309740,8901,6,proxy8;,proxy9;,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;570534080;536979648;335653056
93,2,3,2097936954;1863466167;93280880,8000,17,proxy8;,proxy9;,671197376;520202432
86,2,3,2551672010;832622181;1368895907,443,6,proxy8;,proxy9;,1124182208;660973760
